province,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Bengo,"25.828.830.632,00","33.337.053.899,00","35.140.079.597,00","78.722.965.967,00","34.373.660.666,00","41.948.011.331,00","47.171.403.663,00","53.539.844.420,00","54.133.563.910,00","62.070.039.706,00","78.527.758.124,00","96.049.855.792,00","101.117.706.390,00","204.630.219.957,00"
Benguela,"64.728.972.362,00","86.771.575.562,00","90.026.222.079,00","146.013.130.934,00","90.886.786.235,00","94.876.236.822,00","100.381.947.479,00","124.578.938.626,00","148.622.216.915,00","205.027.165.194,00","245.424.940.369,00","293.373.752.220,00","261.044.057.631,00","539.673.772.950,00"
Bié,"33.718.330.860,00","53.520.996.502,00","62.741.703.354,00","89.777.281.844,00","65.682.713.410,00","78.172.413.292,00","71.248.857.679,00","75.495.840.109,00","251.687.820.216,00","178.910.931.982,00","121.626.813.402,00","181.568.881.162,00","171.991.578.829,00","225.808.171.139,00"
Cabinda,"45.971.517.832,00","48.658.876.512,00","52.081.433.586,00","69.585.181.945,00","56.844.435.337,00","99.617.917.216,00","66.622.719.871,00","80.545.884.377,00","90.635.056.189,00","94.132.722.135,00","239.816.793.303,00","488.393.295.594,00","179.647.694.265,00","348.103.273.581,00"
Cuando,,,,,,,,,,,,,,"57.869.849.259,00"
Cuando Cubango,"28.106.803.870,00","38.031.164.433,00","62.172.110.820,00","106.254.764.102,00","58.538.241.842,00","35.335.253.469,00","43.790.333.529,00","76.032.239.498,00","63.129.524.184,00","59.210.932.123,00","77.000.500.099,00","109.023.405.790,00","113.855.484.239,00",
Cubango,,,,,,,,,,,,,,"129.213.366.014,00"
Cuanza Norte,"24.714.866.081,00","30.594.961.115,00","31.662.951.944,00","120.522.191.832,00","65.255.886.740,00","113.246.630.210,00","69.189.662.017,00","123.376.840.809,00","95.058.150.576,00","104.205.485.686,00","107.293.445.434,00","203.405.257.462,00","166.679.786.971,00","392.958.424.207,00"
Cuanza Sul,"29.737.705.061,00","41.964.845.671,00","47.876.631.402,00","80.183.184.338,00","55.611.005.455,00","92.412.854.184,00","78.221.794.514,00","83.680.817.429,00","107.834.286.513,00","97.386.537.327,00","110.516.660.875,00","148.920.445.139,00","174.487.415.895,00","307.184.489.682,00"
Cunene,"23.329.904.200,00","31.906.465.892,00","36.853.691.507,00","59.834.660.435,00","44.755.083.726,00","38.074.510.578,00","37.197.025.078,00","52.673.092.579,00","57.655.631.277,00","74.584.231.356,00","78.168.825.394,00","140.018.220.996,00","254.961.696.769,00","280.490.176.516,00"
Dívida Pública,,,,,,"2.681.252.913.181,00","5.121.576.945.271,00","5.469.765.615.345,00","9.699.237.355.561,00","7.795.663.317.562,00","9.553.259.216.255,00","9.064.127.003.861,00","14.280.791.366.757,00","16.871.582.511.386,00"
Estrutura Central,"3.718.703.226.701,00","5.591.150.092.321,00","6.144.771.111.833,00","5.225.756.121.842,00","5.052.726.914.867,00","3.034.905.942.415,00","2.975.626.008.227,00","3.931.428.570.067,00","4.129.405.764.470,00","4.492.820.635.571,00","5.763.284.737.497,00","6.681.926.792.093,00","6.250.231.928.383,00","9.717.860.304.613,00"
Exterior,"34.095.955.523,00","28.704.917.555,00","31.819.694.098,00","34.370.958.521,00","29.960.476.333,00","33.695.854.924,00","29.605.737.539,00","35.647.271.394,00","46.394.598.129,00","25.131.620.474,00","102.941.701.709,00","108.035.441.378,00","138.578.657.173,00","172.908.185.631,00"
Huambo,"52.097.687.975,00","71.901.319.451,00","75.580.735.481,00","104.554.798.027,00","81.814.939.630,00","96.352.927.280,00","102.248.347.434,00","108.730.275.711,00","119.739.612.182,00","134.036.984.379,00","163.987.277.667,00","207.719.657.683,00","220.368.340.113,00","426.646.979.864,00"
Huíla,"50.533.046.435,00","66.599.438.857,00","70.821.698.009,00","119.449.418.621,00","78.489.220.099,00","71.517.659.416,00","84.495.242.832,00","111.310.531.539,00","142.569.999.820,00","149.997.435.749,00","183.950.764.311,00","248.895.488.712,00","377.401.333.552,00","511.555.466.569,00"
Icolo E Bengo,,,,,,,,,,,,,,"52.286.440.211,00"
Luanda,"174.571.795.015,00","237.247.401.098,00","208.418.839.849,00","534.460.081.234,00","296.029.926.856,00","461.593.258.770,00","423.934.366.012,00","526.662.479.912,00","465.734.204.094,00","621.944.020.025,00","1.168.779.112.081,00","1.018.885.260.251,00","1.049.005.657.608,00","2.319.289.071.076,00"
Lunda Norte,"23.283.011.249,00","40.183.807.757,00","37.786.831.608,00","57.258.322.931,00","53.723.768.344,00","53.282.340.448,00","55.063.260.265,00","64.994.607.446,00","60.721.017.463,00","101.802.620.223,00","117.921.611.639,00","183.786.195.266,00","120.835.353.591,00","178.873.019.492,00"
Lunda Sul,"23.103.228.458,00","26.637.119.054,00","34.668.958.613,00","54.242.292.009,00","46.732.852.563,00","28.848.785.940,00","33.207.589.920,00","36.827.821.821,00","51.203.386.229,00","68.698.576.282,00","94.537.765.210,00","136.537.452.714,00","119.621.067.096,00","185.977.567.843,00"
Malanje,"35.904.054.155,00","46.001.338.373,00","50.406.046.750,00","68.150.004.878,00","84.611.512.703,00","66.562.153.910,00","100.039.239.632,00","96.917.246.962,00","93.118.719.584,00","182.435.797.175,00","133.680.119.703,00","255.087.522.211,00","120.538.612.789,00","259.740.561.952,00"
Moxico,"31.418.094.354,00","49.302.622.489,00","57.629.877.951,00","66.412.351.266,00","58.925.228.366,00","51.778.228.815,00","57.010.240.505,00","67.584.622.260,00","64.390.455.318,00","72.076.200.818,00","88.840.285.413,00","122.205.335.393,00","139.180.116.336,00","183.240.322.816,00"
Moxico Leste,,,,,,,,,,,,,,"74.538.042.191,00"
